rating,title,author,date,helpful_votes
10,One Step Above Masterpiece!,MiroslavKyuranov,"May 31, 2023",
10,One of the best sequels to anything ever made,pugpool10,"Jun 2, 2023",
10,Okay This Is Peak,hectorvernet,"May 31, 2023",
10,A new Empire Strikes Back,rickothan,"Jun 2, 2023",
10,Masterful IMAX Spider-Man,UniqueParticle,"Jun 2, 2023",
10,the greatest spider-man film ever.,sfarrow8,"Jun 2, 2023",
10,This needs to be nominated for best picture!,Marian25,"May 31, 2023",
6,So Overhyped That I Felt Disappointed,penelopemmorris,"Jun 8, 2023",
10,"Wow, just WOW!",srdjankostic91,"May 31, 2023",
7,"It's good, but I still like the first one better. (7.5)",nickryan-44535,"Jun 6, 2023",
5,Messy messy messy,jyszxpxqfhrg,"Jan 15, 2024",
10,Perfect,Tired_Reviewer,"May 31, 2023",
10,My movie of 2023 so far.,Sleepin_Dragon,"Jun 11, 2023",
10,One Of The Best Movies I Have Ever Seen,emjgiddy,"May 19, 2024",
9,"Across the Universe Of Fun, Excellence, and Adventure: Spider-Man Makes A Connected Web Of Wow",rgkarim,"Jun 2, 2023",
8,Spider-man: Middle of the Spider-Verse,matris1,"Jun 3, 2023",
6,Are people crazy?,armagh-97917,"Jun 16, 2023",
6,Over Hyped,jimmystz,"Jun 8, 2023",
5,Disappointing,daralad,"Jun 18, 2023",
10,The multiverse has opened the doors to the Spiderverse,gabethedinosaur,"Jun 2, 2023",
10,Completely exceeded my expectations,heyrandom,"Jun 1, 2023",
10,Discover the Spiderverse in the biggest way and most wonderful way possible!,Ratingzzz,"May 31, 2023",
8,Half of a movie,FeastMode,"Jun 2, 2023",
10,This makes the MCU look like hot garbage!!,llambeth1,"Jun 2, 2023",
10,A worthy follow-up to perfection.,shrikrishnasriram,"Jun 1, 2023",
7,My feelings about this sequel are currently glitching,cricketbat,"Jun 1, 2023",
,"Slow, overlong, and cliched",TheBigSick,"Jun 10, 2023",
10,The best animation i ever saw,frixysteam,"Aug 10, 2023",
6,This is one of the most overhyped movies I have ever watched.,DeadMansTrousers,"Jun 14, 2023",
5,"I felt like I was going to have a Seizure, while pushing through Lazy Writing.",cstull91,"Jun 8, 2023",
10,Masterpiece,chapterfourax,"Jul 14, 2023",
10,A Mind-Bending Masterpiece!,digitalbablukumar,"Oct 1, 2023",
10,One of the Best Films in Recent Memory,rollercoasterfan-88274,"Aug 22, 2023",
10,New sequel explores what made the first film groundbreaking.,28abir,"Jul 2, 2023",
10,BEAUTIFUL 😍😍😍,kpatricio-61200,"Jun 23, 2023",
10,Best movie of the decade.,mrkmil,"Jun 29, 2023",
7,Visual Overstimulation,mrbledsoe53,"Jun 3, 2023",
10,WATCH AS SOON AS POSSIBLE!,Watchingallformsofmedia,"Aug 8, 2023",
7,Audible groan from the cinema when it finished,georgetbarber,"Jun 2, 2023",
10,Best spider-man movie,tjohnson-07046,"Jul 3, 2023",
10,This Spider Man Animation Movie Are So Masterpiece!!,lawalker-01773,"Aug 8, 2023",
10,Master piece!!,erikacelis,"Jun 4, 2023",
10,Absolutely gorgeous inside and out,pmvmr,"Jun 5, 2023",
10,Best Movie of 2023 so far!,shaikhabdulwasee,"Jul 1, 2023",
10,A Perfect Sequel,bencheek-32813,"Aug 8, 2023",
6,"Decent, nowhere as good as the first",jenkinscammy,"Jun 7, 2023",
10,The Best Cinecomic that will change your life.,charloswee,"Jun 24, 2023",
7,"Wanted to Love it, But Just Liked it",JayWolfgramm,"Jun 11, 2023",
4,Perhaps not for everyone.,planktonrules,"Jun 21, 2023",
10,"One of those movies you won't forget in a really, REALLY long time!",safayet_shawon,"Aug 10, 2023",
10,Best spider-man I've seen,aravinds-98609,"Jun 4, 2023",
9,One of the best Spider Man movies,jaspercobar,"Jun 25, 2023",
10,One of my favourite movie !!,brijbinisy,"Jul 4, 2023",
10,Spider Gwen,hucken,"Aug 8, 2023",
10,Probably better than the 1st,tink-28108,"Jun 29, 2023",
6,Many theater goers walked out before ending,pressboard,"Jun 15, 2023",
10,The goat,enzoenerpoint,"Jun 5, 2023",
6,Managed to be both overlong and incomplete,will-howlett,"Jun 2, 2023",
5,Most overrated movie of all time,jjakum-96413,"Jun 6, 2023",
10,Only downside.,krisssannn,"Jun 5, 2023",
10,Phenomenal!,tiffanyalana,"Jun 2, 2023",
10,Spider-Man: Across the Spider-Verse is great movie SPOLIER,ashishzoom-84965,"Jun 2, 2023",
10,This movie is PEAK! MASTERPIECE!,axelsson11,"Jun 8, 2023",
10,Across the Spider-Verse (wow),alfiegmc,"Jun 3, 2023",
10,"Best spidey movie ever, AND ITS ONLY PART ONE!",christianyogendran-15663,"Jul 9, 2023",
7,"Fine, but definitely doesn't deserve a rating of 9.1.",akseliiikonen,"Jun 1, 2023",
10,"Thank You, Sony.",nsmittyfilms,"Jun 6, 2023",
7,My Review,mminer237,"Nov 18, 2024",
2,Nowhere near as good as the previous! Big disappointment!,flavours_ignobleo,"Jan 3, 2024",
10,WOW,matthewdewey-33976,"Jun 4, 2023",
10,Spider-Man: Across the Spider-Verse (2023) Review,pastirmaa,"Jun 5, 2023",
10,Beyond Spectacular and Beyond Amazing,JaredLegend,"May 31, 2023",
10,A perfect sequel to a perfect movie.,rofepa,"Jun 6, 2023",
9,The greatest animated film of all time.,ethiotst-53110,"Jun 5, 2023",
10,It's not a movie about characters from the comics - it's a comics book made into a movie,ayoreinf,"Jun 4, 2023",
6,All over the place,hobgoblinlol,"Aug 8, 2023",
10,A movie worth every penny and time you spend,Blashma,"Jun 1, 2023",
6,Not great but it's good.,tavismelvin,"Jun 5, 2023",
4,"Overhyped, I'm giving lower rating to do justice :)",ibarix,"Oct 7, 2023",
10,An absolutely worthy successor,bhat-utsav,"May 31, 2023",
10,Best Movie I've Ever Seen,rshariff-66038,"May 31, 2023",
10,One of the greatest animated films I've ever seen,tomasmug,"Jun 2, 2023",
8,Very entertaining,brandoconner-83700,"Jun 2, 2023",
7,The best animated movie of the year,kingofruby,"May 31, 2023",
10,My new favorite Spider-Man movie,IsThatJoseph21,"Jun 4, 2023",
6,First one is better IMO,Abdulxoxo,"Aug 10, 2024",
2,Non-stop Chaos,sabrina-49438,"Jun 7, 2023",
9,Y'all are being silly,Beachsloth_,"Jun 13, 2023",
10,Best Picture? Best Picture.,finnconnelly-63017,"Jun 5, 2023",
10,It's literally perfect,notastrawhat,"Jun 3, 2023",
10,Overwhelmingly amazing,awsafzidane,"Jun 2, 2023",
10,The greatest animated film of all time.,vsByle,"Jun 2, 2023",
10,This is something truly special,hoshouchian,"Jun 5, 2023",
6,"""taking a crap on the establishment. i salute you"" hahaha",Alba90,"Jan 14, 2025",
10,Can we skip to 2024 now?,tarmdhammawatra,"Jun 5, 2023",
7,Not as Good as the 1st Besides All the Hype,christian94,"Aug 16, 2024",
5,Are you kidding me?,matdo5130,"Sep 2, 2024",
10,Wow! That is all I could think when this movie ended. It had big shoes to fill and my god did it deliver.,jelco_ajax,"May 31, 2023",
10,ANIMATION AT ITS BEST,dburris-45933,"Jun 4, 2023",
10,"My expectations were sky high, yet this movie still managed to surpass it.",mkanatlar,"Jun 3, 2023",
10,Nominat this for best picture!,clydekaila-04310,"Aug 10, 2023",
10,Excelsior!,tokyojay-86837,"Jun 2, 2023",
10,Genuinely the greatest Marvel movies,samslapson,"Jun 12, 2023",
6,"Very long, very boring, lacking what made the first great",georgia_lilley,"Mar 26, 2024",
10,Simply perfect,elvis100020,"Aug 9, 2023",
6,It's beautiful. Really nothing else,oliverpgrannis,"Jun 18, 2023",
3,Feel disconnected from the fan base after watching this.,kylebelcher,"Jun 8, 2023",
10,Web of Wonders,ahmad_mobeen,"May 31, 2023",
10,Leaves you wanting so much more!,gargakshay-40475,"Jun 1, 2023",
10,Animation Masterpiece!,hassannaima-55714,"Jul 2, 2023",
10,Awesome,justinprasad-01334,"Jun 28, 2023",
10,Truly amazing!,utvolssam,"Jun 24, 2023",
10,m a s t e r p i e c e,nicolepa05,"Jul 11, 2023",
6,Two angsty teens with daddy issues mope around for 2+ hours,RogerRoger77,"Jun 11, 2023",
10,Phenomenal,Nadia03,"Jun 20, 2023",
6,How 'Across the Spider-Verse' Left Me Hanging: An Honest Review,safa-cagdas,"Oct 4, 2023",
10,Masterpiece,gordongraham-45710,"Aug 18, 2023",
10,Masterpiece At It's Greatest,calebchris-59015,"Aug 9, 2023",
10,Phenomenal,zkutzer,"Aug 23, 2023",
10,A Movie That Sets the Bar High,AmyVerse,"Jun 2, 2023",
10,Movie Art: will have the same impact as Matrix: never seen anything like it,vbelow,"Jun 2, 2023",
10,One to watch in a crowded theater,afeey,"Jun 29, 2023",
6,Id give it 6.5,stedz-29848,"Dec 27, 2023",
10,Groundbreaking...once again,enreyes84,"Jun 2, 2023",
6,Spider-Man: Across the Spider-Verse,CinemaSerf,"Jun 4, 2023",
5,Middle of a Series,shiigi1,"Jun 7, 2023",
10,IF THERE IS A TIME TO BE ALIVE IT IS 2023,noahdougherty,"Jun 28, 2023",
10,Just awesome,lauralewis-48859,"Jun 23, 2023",
10,Work of art,hasaans-24133,"Sep 8, 2023",
10,HONESTLY SURPRISE,danizull,"Jul 4, 2023",
10,Amazing in every way!,jojorvt,"Jul 4, 2023",
10,The Spiderverse that won my heart,aarathiajit-02903,"Jul 1, 2023",
6,Didn't resonate,mbaker81,"Jun 18, 2023",
10,Even our world can have a other multiverse. This is Very Power Movie from This year.,elektryczny,"Jul 26, 2023",
6,"It's OK, but I just didn't like it as much as the first one",Professor_Zoom,"Feb 10, 2024",
1,Spider-Man: Across the Awful-Verse,damovie6,"Nov 3, 2024",
10,Calling All Spider-Man Fans,MichaelAntonioBollo,"Aug 20, 2023",
10,An Unforgettable Cinematic Masterpiece,jon-j-henry,"Jun 3, 2023",
10,Amazing,TheSquareTiger,"Sep 10, 2023",
10,An animation masterpiece,lepetitdj,"Jun 5, 2023",
10,Best Spider-Man adaption yet...,michvanbeek,"Aug 10, 2023",
10,Great storytelling and animation,somekidzenvy,"Jun 6, 2023",
6,Decent but visuals are too glitchy,wolfsong1611,"Aug 16, 2023",
10,What a time to be alive,haloemile,"Jun 5, 2023",
,Greatest Animated Film Of All Time,kaitonkin,"Aug 8, 2023",
7,ACROSS THE EXPOSITIONAL-VERSE,jayman-04681,"Sep 5, 2023",
5,Sadly disappointed,turleymjennifer,"Jun 20, 2023",
10,This is how you up your Game,GhostReacher,"Aug 10, 2023",
10,Adjusted rating from 9 to 10,tokoroos,"Jun 25, 2023",
10,Just incredible,TheDanielBaxter,"Aug 9, 2023",
10,It's so good I'm sad it ended.,konstiggrisman,"Aug 9, 2023",
10,Greatest Movie of All Time,mfaiyez,"Aug 23, 2023",
10,Even better than the first!,manasbhati,"Jun 1, 2023",
6,Spider-man: Across the Simplistic-Verse,rashid-5735,"Jun 5, 2023",
10,Wow.,suvikiangaming,"Jun 2, 2023",
6,Has no ending,scottaross-853-937059,"Jun 2, 2023",
4,"Best Spider-Man Movie Ever???, More Of Like The Worst Spider-Man Movie I've Ever Watched, Across The Spider-Verse Is Bad, It's A Failure, And It's A Complete Waste Of Time",HabibieHakim123,"Jun 12, 2023",
10,"Best Spider-Man, No cross that, Best MOVIE EVER",abdullahhumayun-36773,"Jun 3, 2023",
10,I didn't think animation could look any better,yeswestan,"Aug 25, 2023",
10,Best Spiderman movie ever !,smitvyas-17228,"Jun 3, 2023",
9,an absolute triumph in the world of animated superhero films.,speedycomics,"Aug 10, 2023",
10,Perfection,elliotlovgren-61372,"Jun 5, 2023",
10,The best animated movie I've ever seen,evancrume,"Jun 5, 2023",
6,"Great animation, muddled contrived story",michiganmand,"Jun 28, 2023",
10,"Sony, Please Focus On Doing Animation Movie.",aaidil-1997,"Jun 3, 2023",
6,Not cool,kuteguy,"Aug 17, 2023",
2,Took me 4 tries to finish on Netflix,crypto-69627,"Nov 4, 2023",
10,Epic movie,omerfarooq-62366,"Jun 7, 2023",
10,One of the best movies ever.,shubhampatelspam,"Jun 16, 2023",
10,It is my top 1 movie in this year so far. EVERYONE SHOULD WATCH IT,Jf12345,"Jun 26, 2023",
10,Absolute Cracker,leekeithf,"Sep 9, 2023",
10,Best superhero movie,dominic-30989,"Jul 21, 2023",
10,The best comic book movie ever made,khalil-24158,"Jun 3, 2023",
6,Don't believe the hype,robmaxuk,"Oct 21, 2023",
10,Spider-Man: Across the Spider-Verse: A Superior Sequel That Transcends Expectations,CelluloidConnoisseur,"Jun 3, 2023",
7,It's great but 1 is more perfect.,patfansjp,"Jun 18, 2023",
4,"Excellent art, weak story",curmudgeon86,"Oct 2, 2023",
10,A work of Art,hulsserge,"May 31, 2023",
10,"Heartfelt, Engaging and Amazing",ashishkm-28078,"Jun 3, 2023",
10,Couldn't take my eyes off the screen,oattcin,"Jun 6, 2023",
10,A masterpiece,diogomouraviegas,"Jun 25, 2023",
10,Best movie I've watched this year,talliejane-02842,"Aug 21, 2023",
10,Title: A Web-Slinging Masterpiece: Spider-Man: Into the Spider-Verse Defies Expectation,notoriousash-16297,"Jul 4, 2023",
7,Don't really get the hype...,jokroeger,"Jun 3, 2023",
10,"Way over 10, I should say 100!",taylandeng,"Jun 5, 2023",
7,Misguided Stretched Sequel Bait,dmoorejr,"Jun 4, 2023",
10,Goat,lucashillerizquierdo,"Jun 6, 2023",
10,The Best Film I've Seen in Years,info-48105,"Jun 2, 2023",
10,Review from someone whose life changed because of watching the first one in IMAX 3D,morpheusbloom,"Jun 1, 2023",
10,The second movie of what could end up as one of the greatest movie trilogies of all time,jacobmorel-21340,"Jun 5, 2023",
10,No corners cut!,ToteM97,"Jul 1, 2023",
10,Probably the best movie in this universe,cosmynlittleskipper,"Jun 28, 2023",
,No disappointments!,raickmiranda,"Jun 5, 2023",
7,Satisfactory Sequel that Falls Short of its Predecessor,renolgregory,"Jun 2, 2023",
10,no comment,adburhmanadbulhkem,"Aug 13, 2023",
6,Didn't hit the spot for me.,Jonimckenna,"Jun 4, 2023",
2,"Not good for kids, not nice to watch",Zooha-47207,"Sep 2, 2024",
10,Easily the best Spider-Man movie!,ryanandrew-05077,"Jul 9, 2023",
10,A movie that exceeds expectations,anon-00001,"Jun 10, 2023",
10,"This might be the perfect superhero movie, if not, it's close.",neonfamxxi,"Jun 5, 2023",
10,A+++++ A Masterpiece for Cinema,russellquisenberry,"Jun 4, 2023",
10,Absolute work of art.,iipumpkiniix,"Jun 5, 2023",
10,A masterpiece in animation and story telling,otto_tieleman,"Jul 3, 2023",
,Across the Spider-Verse is the Best animated film of 2023.,Masami-J,"Jun 12, 2023",
6,Split.,krzysiektom,"Jun 16, 2023",
10,"How difficult it was to overcome the first film, this one :D did it and by far",porceljesusw,"Aug 11, 2023",
6,"""Welcome to Spider-Society!""",classicsoncall,"Oct 21, 2023",
2,Didn't understand half of the movie,quelami,"Jun 14, 2023",
10,Best Spiderman movie so far!,snrchqfx,"Aug 16, 2023",
10,Miguel,viaanfrancesca,"Jun 21, 2023",
10,OVERWHELMINGLY GOOD,etziolopez,"Jun 7, 2023",
10,Look! I KNOW WHY THERE ARE COMPLAINS.,Suprab_starz1993,"Jun 8, 2023",
10,The Best Spider-Man Film. Ever.,wesleyarledge-86836,"Jul 22, 2023",
10,How to make greatness even better,fracturedglitter-36-435020,"Jun 2, 2023",
,One of the best animations of all time,JWick23,"Aug 23, 2023",
7,"The action was amazing, but rest meh...",andysheridan-68075,"Jun 14, 2023",
10,Somehow they managed do outdo into the spiderverse (but not its soundtrack),sampuran,"Jul 27, 2023",
2,Visually feels like a seisure,OldMovieRob,"Jan 7, 2024",
9,"Better than the one before, With better animation and better story",ghazi-zbalawi-31098,"Jun 30, 2023",
10,spectacular,jcydjs,"Jun 28, 2023",
10,Sony Pictures - Take a bow,stormbringa,"Jun 3, 2023",
10,The best,paurushmakhija,"Jul 29, 2023",
10,Best Animated Film of '23!,nqmedia,"Jul 31, 2023",
9,The BEST Spider-Man EVER!,pedrocf14,"Jun 12, 2023",
,"Wish you warn me like ""This is chapter one""",faiknadir,"Sep 30, 2023",
7,Spider-verse of Madness,jack_o_hasanov_imdb,"Jun 2, 2023",
10,Genuinely Amazing,haydenxpro,"Jun 3, 2023",
6,Save the Captain... next time.,chand-suhas,"Jun 1, 2023",
1,Sick of the MULTIVERSE!!,aminfotovat-02697,"Sep 24, 2023",
10,BEYOND EXPECTATIONS,alexaquarius,"Jun 11, 2023",
10,The perfect sequel!,quaade-46805,"Jul 22, 2023",
10,The best Spider-man movie!,lukasprochazka-05904,"Jul 31, 2023",
10,Perfect. Just perfect.,adykotidou,"Aug 21, 2023",
10,If you disagree...i will fight you,colewink97,"Jun 5, 2023",
10,THE Spiderman Film to Watch!,jius,"Jun 2, 2023",
7,"Its good, just good",dsampat-86173,"Jun 29, 2023",
10,This movie is insane,jacobstilwell-84634,"Jun 2, 2023",
7,Great moments but not a great whole,a-clinch1,"Jun 2, 2023",
3,Pointless film.,juniperwrb,"Jun 9, 2023",
10,Surpassed my expectations,gbanoon,"Jun 1, 2023",
10,Beyond the Generic.,sventempest,"Jun 27, 2023",
10,A MASTERPIECE IN EVERY SENSE OF THE WORD,calebbrookscj,"Jun 8, 2023",
10,MINDBLOWING,amrikaditya,"Jun 3, 2023",
10,Beautiful Sequel That Continues to Elevate the Art Form,willphelan,"Nov 4, 2023",
10,A great sequel,maxwellbourke,"May 31, 2023",
6,Too busy,coolkiasha,"Nov 13, 2023",
10,It's Everything The First One Was And More,cadillac20,"Jun 3, 2023",
7,Rather Disappointong,jonasjroth,"Jul 14, 2023",
1,Why are film makers today unable to tell a story in two hours or less?,shanayneigh,"Aug 27, 2023",
10,A spiderman fans dream,burntoutboy,"Jun 2, 2023",
10,Excellent!,msxwilliams,"Jun 3, 2023",
10,A Multiversal Masterpiece!,cedricdumler,"Jun 5, 2023",
10,"Incredible, to say the least",anibalcnso,"Jun 5, 2023",
10,My new favorite movie,spiderandwolf,"Jun 3, 2023",
10,The best animated film of all time.,Mistr-Mr,"Dec 30, 2024",
,"Tried a lot of different things, few worked",lone_samurai678,"Jun 3, 2023",
6,Style Over Substance?,stephenwood-99259,"Jun 2, 2023",
9,It's pretty cool,octhaven,"Oct 2, 2023",
6,Average kids movie,tsandenskog,"Jul 20, 2023",
1,A Disappointing Sequel,guilliman-40590,"Dec 3, 2024",
8,I got everything what I expected from this movie,de_ville-64785,"Jun 12, 2023",
9,This was my favorite movie of 2023 and an absolute masterpiece!,jacoboehler-45665,"Jun 14, 2023",
9,AMAZING!,rvwrnn,"Jun 5, 2023",
9,Just WOW!,cainanmarshalldez,"Sep 29, 2023",
8,"I don't think it's an absolute masterpiece, but an excellent film",alphaygr,"Sep 18, 2023",
9,Who said second parts were never good?,LeonardoOliva69,"Jul 7, 2024",
6,Into the spider verse was better.,davidtitlow,"Dec 23, 2023",
10,one of the best animation i watched,GQQuoc,"Sep 23, 2023",
6,Am I missing something here.,davidjejna,"Aug 13, 2023",
2,Undoing character development,jordansnd,"Aug 26, 2023",
10,An Animated Cinematic Masterpiece That Will Leave You Breathless!,fadybaseleem,"May 31, 2024",
9,"Spider-Man: Across the Spider-Verse - A WILD Multiverse Ride, Frfr 💥",hamadatobio,"Dec 23, 2024",
9,Possibly the best animation ever made,alunmcarthur,"Apr 20, 2024",
9,A Web of Emotions and Unparalleled Action,filmezandobrasil,"Oct 2, 2023",
10,A new modern animated classic,Quethinks,"Jun 17, 2024",
7,"Visually stunning, great dialogue, though not satisfying.",thomasjkroeze,"Jun 2, 2023",
10,The animation alone is a mesmerizing spectacle. That paired with the excellent story puts it at another level.,poseyfan,"Jun 3, 2023",
6,Why no ending?,jmcoelho7,"Jun 2, 2023",
3,Disappointing,sbentley-90703,"Jun 26, 2023",
10,Magical,GhostFoxX,"Jun 17, 2023",
10,Spidey done right,ykjdh,"Jun 2, 2023",
10,A love letter for all spiderman movies/tv shows,art96321,"Jun 2, 2023",
8,"I understand why this film is so incredibly highly rated, even for an opening weekend, but I do think it is a tad overrared online.",Dominic_25_,"Jun 6, 2023",
10,Hits Harder Than A Webshot!,raulvg-31151,"Jun 4, 2023",
10,Season 2a is great so far. Can't wait for season 2B.,grantlauzon,"Jun 2, 2023",
6,5 years too long in between,christopherbrooke,"Jun 2, 2023",
10,Movie of the year,inovski,"Jun 11, 2023",
7,Spiderman: Across the spiderverse,liewphebe,"Nov 6, 2023",
2,A very overrated cash grab!,nothingbounce,"Jun 5, 2023",
10,"my gosh... this is what a sequel should be, better than the first",jay632,"Jun 4, 2023",
10,The Greatest Comic Book Film of all Time,TheRealPetraeus,"Jun 3, 2023",
10,"Chills, literal Chills",hexx-52214,"Jun 2, 2023",
10,A Revolutionary Masterpiece,vinniec-53536,"Jun 6, 2023",
10,A New Benchmark in Cinematic Excellence,TheDanishMovie-Nerd,"Jun 12, 2023",
7,I enjoyed Across the Spider-Verse more.,MJB784,"Apr 4, 2024",
10,It has it all!,wilbertwwest,"Jun 24, 2023",
6,Style over substance,rubya,"Sep 10, 2023",
4,An overhyped film,williealberto,"Aug 11, 2023",
10,If I could give it more than 10 I would.,maceman1220,"Jun 5, 2023",
10,Speechless,xgpackerfan,"Jun 8, 2023",
10,Simply Wow. Continues to exceed expectations.,daniel-65836,"Aug 13, 2023",
10,Had to see it 3 times at the cinema!,samsanyb,"Jun 6, 2023",
10,Wa Chai Karate Chop. I LOVE THIS MOVIE!,IMDbProTheOriginal,"Jun 8, 2023",
10,BEST CBM OF 2023 BY FAR,adityabagri-67458,"Jun 2, 2023",
6,False Advertising and Awkward Pacing,mcdonaldparis-83809,"Jun 28, 2023",
8,"If this isn't perfect, I don't know what is.",whatyalookinat,"Aug 10, 2023",
6,A Miles Morales film without Miles Morales,alensufli,"Jun 1, 2023",
2,All Filler and No movement,goodygoodman-89095,"Jun 7, 2023",
10,The Most Creative Animated Movie Ever,monuthube,"Jul 1, 2023",
10,A cinematic home run,ckkoay1971,"Jun 4, 2023",
10,Perfection,ryanwesthamfan,"Jun 3, 2023",
10,One of the best animated films ever made,powellian6,"Jun 4, 2023",
10,An esteemed title of a sequel better than the original,ha77y73ad97,"Aug 2, 2023",
10,Keeps Getting Better,Mangalassery_Neelakandan,"Jun 5, 2023",
,One of THE best Spider-Man films ever made. Full Stop.,mourxd,"Jun 11, 2023",
6,"A graphically beautiful sequel with some inspired moments, but a disappointingly mediocre story",TRinzler,"Aug 18, 2023",
10,"10/10, Perfect",dcdude-26988,"Jun 3, 2023",
6,Endless fighting,blixakos,"Aug 17, 2023",
3,"Most Overrated Film Of 2023. Certainly not ""Peak Fiction""",Silver5963,"Dec 22, 2023",
10,If you're a fan of Spider Man you'll love every second of this...,marwinsingh-30063,"Jun 4, 2023",
10,Good,ps-54128,"Aug 25, 2023",
10,Beyond the power of human brain to grasp it,atash1317-648-615053,"Jun 5, 2023",
9,In a class of it's own.,ambitionsar,"Jun 5, 2023",
10,Amazing,aaronshibu-77661,"Jun 7, 2023",
10,The Best Movie of 2023,MovieFanatic1995,"Jul 30, 2023",
,Spider-Man: Across the Spider-Verse' Review,tamishrathore,"Aug 1, 2024",
7,"Dialogue, always dialogue",ohadlu,"Jun 7, 2023",
10,"This film should be shown in the museum of fine arts, not in the cinema!!!",persian_gulf_watcher,"Aug 12, 2023",
7,Was ok,bennyq85,"Jun 3, 2023",
5,Was expecting better,vallscar,"Jun 1, 2023",
10,"Visually AMAZING, Storytelling is ON-POINT, Characters are spectacularly developed, and it has one of the BEST plot twists in ALL OF FICTION",cloverytvlogs,"Aug 11, 2023",
10,Just stunning all around,shawnweagle,"Jun 5, 2023",
10,Did not disappoint,edwinomar-10060,"Aug 13, 2023",
